,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
2326,321.0,509.00589387550315,1.2727272727272727,1.2603473333333337,25,30.248336,8025.0,1,game
3484,170.78571428571428,384.5393205005036,1.0,0.015863307692308346,14,0.20622300000000848,2391.0,1,voip
55,109.13636363636364,205.4454615277195,1.2,0.2684729047619093,22,5.637931000000094,2401.0,1,streaming
2076,158.7037037037037,321.3802941178775,1.0769230769230769,0.005644999999997953,27,0.14676999999994678,4285.0,1,streaming
3282,400.157894736842,595.732533493,0.9,0.017142444444447038,19,0.3085640000000467,7603.0,1,voip
2620,219.0,-1.0,0.0,-1.0,1,0.1035749999998643,219.0,0,game
145,109.04545454545456,205.4232511699007,1.2,0.269154619047619,22,5.652246999999999,2399.0,1,streaming
333,400.157894736842,595.732533493,0.9,0.014367166666667054,19,0.25860900000000697,7603.0,1,voip
3261,400.157894736842,595.732533493,0.9,0.018669111111105648,19,0.33604399999990164,7603.0,1,voip
1922,99.6875,126.59895668343135,1.2857142857142858,2.004199933333333,16,30.062998999999998,1595.0,1,streaming
4193,400.157894736842,604.5774707418851,0.9,0.03065277777777769,19,0.5517499999999984,7603.0,1,voip
1839,58.5,37.476659402887016,1.0,0.0166409999999928,2,0.0166409999999928,117.0,1,game
2052,153.96428571428572,316.5220116554832,1.1538461538461535,0.005358555555557342,28,0.14468100000004824,4311.0,1,streaming
1775,1320.0,0.0,-1.0,0.00010875566750628574,795,0.08635199999999088,1049400.0,1,download
4893,170.78571428571428,384.5393205005036,1.0,0.0190489999999998,14,0.24763699999999744,2391.0,1,download
4472,58.0,-1.0,0.0,-1.0,1,0.009728999999879306,58.0,0,voip
4378,170.78571428571428,384.5393205005036,1.0,0.02731376923074654,14,0.35507899999970505,2391.0,1,voip
388,170.78571428571428,384.5393205005036,1.0,0.02016384615384281,14,0.26212999999995645,2391.0,1,voip
838,400.157894736842,595.732533493,0.9,0.01733111111112369,19,0.3119600000002265,7603.0,1,voip
3663,400.157894736842,595.732533493,0.9,0.01689527777777755,19,0.3041149999999959,7603.0,1,voip
3576,170.78571428571428,384.5393205005036,1.0,0.02087023076922798,14,0.2713129999999637,2391.0,1,voip
4288,400.157894736842,604.5774707418851,0.9,0.05078988888888287,19,0.9142179999998916,7603.0,1,voip
3744,400.157894736842,604.5774707418851,0.9,0.03711000000000948,19,0.6679800000001705,7603.0,1,voip
2305,32.0,0.0,1.0,0.000831333333332888,4,0.002493999999998664,128.0,1,game
3523,400.157894736842,604.5774707418851,0.9,0.03792949999999943,19,0.6827309999999898,7603.0,1,voip
2195,308.0,0.0,-1.0,165.00489849999997,3,330.00979699999993,924.0,0,streaming
2879,186.85454545454544,333.9395275806805,1.2,3.3087140740740746,55,178.67056000000005,10277.0,1,voip
1105,662.5738636363636,394.98832703667773,-1.0,0.0037799456727732154,1584,5.983654000000001,1049517.0,0,voip
1331,827.0591482649843,324.61572274573103,-1.0,0.002631913970007931,1268,3.3346350000000484,1048711.0,0,voip
2706,170.78571428571428,384.5393205005036,1.0,0.01843015384614633,14,0.2395919999999024,2391.0,1,voip
2611,94.0,-1.0,0.0,-1.0,1,0.3018560000000008,94.0,0,game
3256,170.78571428571428,384.5393205005036,1.0,0.020508307692300432,14,0.2666079999999056,2391.0,1,voip
4088,181.4615384615384,398.07591725377694,1.1666666666666667,0.09565766666666302,13,1.1478919999999562,2359.0,1,voip
3257,170.78571428571428,384.5393205005036,1.0,0.020206923076924656,14,0.2626900000000205,2391.0,1,voip
4300,170.78571428571428,384.5393205005036,1.0,0.014815692307693622,14,0.1926040000000171,2391.0,1,voip
3292,170.78571428571428,384.5393205005036,1.0,0.07824500000001186,14,1.017185000000154,2391.0,1,voip
3617,170.78571428571428,384.5393205005036,1.0,0.0188662307692329,14,0.2452610000000277,2391.0,1,voip
349,400.157894736842,595.732533493,0.9,0.014326888888889912,19,0.25788400000001843,7603.0,1,voip
149,31.73809523809524,14.071350454041884,0.75,0.18425839024390264,42,7.554594000000009,1333.0,1,streaming
2790,170.78571428571428,384.5393205005036,1.0,0.020703692307681473,14,0.2691479999998592,2391.0,1,voip
398,170.78571428571428,384.5393205005036,1.0,0.015881923076925927,14,0.20646500000003692,2391.0,1,voip
4451,320.32203907203905,451.10588972001375,-1.0,0.0128274467175573,3276,42.00988800000016,1049375.0,0,voip
1438,1320.0,0.0,-1.0,9.139798488664848e-05,795,0.07256999999999891,1049400.0,1,download
4179,170.78571428571428,384.5393205005036,1.0,0.019176000000033337,14,0.24928800000043336,2391.0,1,voip
2028,1316.2772898368885,61.97932585021228,-1.0,0.02732876758793975,797,21.753699000000037,1049073.0,1,streaming
3418,170.78571428571428,384.5393205005036,1.0,0.017941384615386802,14,0.2332380000000285,2391.0,1,voip
4684,162.33333333333334,371.9945596120357,1.1428571428571428,0.08694157142857202,15,1.2171820000000082,2435.0,1,download
3868,170.78571428571428,384.5393205005036,1.0,0.01450515384614776,14,0.18856699999992088,2391.0,1,voip
3395,400.157894736842,595.732533493,0.9,0.07936294444444532,19,1.4285330000000158,7603.0,1,voip
678,170.78571428571428,384.5393205005036,1.0,0.015539000000000688,14,0.20200700000000893,2391.0,1,voip
3896,170.78571428571428,384.5393205005036,1.0,0.013842076923074624,14,0.1799469999999701,2391.0,1,voip
1704,1320.0,0.0,-1.0,0.00018822670025188488,795,0.1494519999999966,1049400.0,1,download
3965,170.78571428571428,384.5393205005036,1.0,0.05899492307692246,14,0.7669339999999921,2391.0,1,voip
4535,459.736749890495,542.8562767825318,-1.0,0.008519151621384792,2283,19.440704000000093,1049579.0,0,voip
2249,35.166666666666664,14.455679391390314,0.5,0.032435199999999755,6,0.16217599999999874,211.0,1,game
4473,104.0,0.0,1.3333333333333333,0.118981,7,0.713886,728.0,0,voip
3529,170.78571428571428,384.5393205005036,1.0,0.04574469230770389,14,0.5946810000001506,2391.0,1,voip
2345,34.22222222222222,3.5276684147527875,1.25,0.002462625000006824,9,0.01970100000005459,308.0,1,game
1561,1320.0,0.0,-1.0,0.000210154911838799,795,0.16686300000000642,1049400.0,1,download
